Year,UserId,TotAnswers
2020,37556,200
2019,59636,200
2019,20775,199
2020,87479,199
2019,44969,199
2019,49819,199
2020,21917,199
2020,14119,199
2019,118232,198
2019,5757,198
2019,108049,198
2019,100576,198
2019,27812,197
2020,107790,197
2019,44070,197
2019,80173,197
2020,33813,197
2019,101602,197
2019,218,197
2019,101574,197
2019,5696,197
2019,103452,197
2019,44197,196
2019,116801,196
2019,366,196
2019,97650,196
2020,3684,196
2019,6448,196
2019,20782,195
2019,118316,194
2020,51620,194
2019,72799,194
2020,104381,194
2019,21352,193
2020,106277,193
2019,30269,193
2020,87572,193
2019,56913,193
2019,85159,193
2020,28989,192
2019,72261,192
2019,1363,192
2019,54751,192
2019,38495,192
2019,71933,191
2019,57283,191
2019,75794,191
2020,78966,191
2019,71955,191
2019,35947,190
2019,74311,190
2019,46554,190
2020,93250,190
2019,48065,190
2019,117045,190
2019,32203,190
2019,30250,190
2019,50873,190
2019,62881,189
2020,54780,189
2019,107816,189
2020,28686,189
2019,77049,189
2020,56359,189
2019,61091,189
2020,8383,189
2020,68144,189
2020,15120,189
2019,64331,188
2019,57912,188
2019,36663,188
2019,3533,188
2019,63214,187
2020,50046,187
2020,96080,187
2019,42832,187
2019,63524,187
2020,5760,186
2019,101806,186
2019,25999,186
2019,94315,186
2019,33735,186
2019,104381,186
2019,86949,186
2019,71208,186
2020,79098,185
2019,75692,185
2019,110578,185
2019,115915,185
2019,64556,185
2020,19659,184
2019,84287,184
2019,29913,184
2019,76141,184
2019,13111,184
2019,106068,184
2019,91073,184
2019,45364,183
2019,62510,183
2019,28919,183
2020,90398,183
2020,117582,182
2019,69588,182
2019,25794,182
2020,99265,182
2019,26387,182
2020,14017,182
2020,56640,182
2019,97793,181
2020,51768,181
2019,87479,181
2019,27866,181
2019,90528,181
2020,3118,180
2019,109871,180
2019,8390,180
2019,70339,180
2019,4040,180
2019,86024,180
2019,25613,180
2020,107774,180
2019,45365,179
2019,115910,179
2019,15383,179
2019,104613,179
2020,113613,179
2020,108511,179
2019,79752,179
2019,99265,179
2020,38721,178
2019,96946,178
2019,54639,178
2019,102432,178
2020,53931,178
2019,85162,178
2019,32329,177
2020,76283,177
2019,35915,177
2020,71555,177
2020,24498,177
2019,59201,177
2019,105821,177
2019,110743,177
2019,77332,177
2019,36128,176
2019,93250,176
2019,17673,176
2020,30602,176
2019,51733,176
2019,110402,175
2019,34008,175
2019,111117,175
2020,35725,175
2019,7403,175
2019,11602,175
2019,52163,175
2019,12653,175
2019,28989,175
2020,12319,175
2019,115167,174
2020,53611,174
2019,75831,174
2020,22098,174
2019,61838,174
2019,52018,174
2019,97237,174
2019,9356,174
2019,96788,174
2019,5800,174
2020,115745,174
2019,51528,173
2020,81199,173
2019,29348,173
2020,68577,173
2019,103299,173
2019,59251,173
2019,63761,173
2020,62287,173
2019,118848,172
2020,66964,172
2019,55445,172
2020,90065,172
2020,25613,172
2019,4581,172
2020,45364,172
2020,34400,172
2019,32875,172
2019,7335,172
2020,28309,172
2020,107745,171
2019,46139,171
2019,60198,171
2019,20423,171
2019,34420,171
2019,28330,171
2020,113435,170
2019,4152,170
2019,66964,170
2019,32772,170
2019,87853,170
2020,44197,169
2019,80982,169
2020,49764,169
2019,100080,169
2019,35140,169
2020,114197,169
2020,11726,169
2019,50572,169
2020,56509,169
2019,47895,169
2019,96907,168
2020,41398,168
2019,59072,168
2020,24697,168
2019,12804,168
2019,6816,168
2019,109931,167
2019,56359,167
2019,100515,167
2019,12366,167
2020,106068,167
2020,18053,167
2019,68944,167
2019,5240,167
2019,59894,167
2019,11576,167
2019,84714,167
2019,8981,167
2020,96993,167
2019,92618,167
2019,42980,166
2019,78431,166
2020,35140,166
2020,60296,166
2020,33504,166
2020,79189,166
2019,55167,166
2019,94040,166
2020,26951,165
2019,66497,165
2020,44529,165
2019,86676,165
2020,58930,165
2019,107520,165
2020,16937,164
2019,97907,164
2019,37556,164
2020,101806,164
2019,114125,164
2020,28911,163
2020,74783,163
2020,96695,163
2020,83343,163
2019,67282,163
2019,92030,163
2019,28985,162
2020,90617,162
2019,68254,162
2019,96695,162
2019,39904,161
2019,68838,161
2019,39631,161
2020,110082,161
2019,49698,161
2020,15435,161
2020,50985,161
2019,49549,161
2019,59981,160
2020,28467,160
2019,27175,160
2020,40862,160
2020,18982,160
2020,18070,160
2019,33922,160
2019,27938,160
2020,85160,159
2019,36431,159
2020,68720,159
2019,48712,159
2020,71923,159
2019,16583,159
2020,35769,159
2019,15351,159
2020,11576,159
2019,33361,159
2020,89217,158
2019,9550,158
2019,89908,158
2019,36067,158
2019,61788,158
2019,19268,158
2019,100313,158
2019,42802,157
2019,70248,157
2020,90576,157
2019,69333,157
2020,118879,156
2019,101705,156
2019,18070,156
2019,70892,156
2019,30950,156
2020,112434,156
2019,52027,156
2019,36830,156
2019,108818,155
2019,18098,155
2020,113467,155
2020,39367,155
2020,101614,155
2019,57595,155
2020,109871,155
2020,36071,155
2019,111246,154
2020,35173,154
2019,80949,154
2020,69333,154
2020,5947,153
2019,98279,153
2019,31454,153
2019,92360,153
2019,87604,153
2019,111431,153
2019,52716,152
2019,102402,152
2020,55988,152
2020,63054,152
2020,2654,152
2019,85608,152
2019,5894,152
2020,25593,152
2019,99403,151
2019,13431,151
2019,115745,151
2020,99,151
2020,101060,151
2020,45365,151
2019,68308,151
2019,52053,151
2019,18230,151
2019,25278,151
2019,33709,151
2019,15441,151
2019,55305,151
2020,74172,150
2019,10057,150
2019,116904,150
2020,31053,150
2019,105972,150
2019,6810,150
2019,81562,150
2019,89431,150
2019,115273,150
2020,5412,149
2019,74580,149
2019,51429,149
2019,98087,149
2019,16624,149
2019,86865,149
2020,55211,149
2019,110940,148
2019,52730,148
2019,82316,148
2020,34008,148
2020,85608,148
2019,19823,148
2019,51222,148
2019,82425,147
2019,55491,147
2020,115292,147
2019,12275,147
2019,99658,147
2019,55017,147
2019,28686,147
2019,27760,147
2019,6912,147
2019,15396,147
2019,100939,146
2020,22933,146
2019,110304,146
2020,37185,146
2019,115117,146
2019,39949,146
2019,72182,146
2019,43159,146
2019,43140,146
2019,30735,146
2019,104608,145
2019,29771,145
2020,90348,145
2019,95891,145
2019,40874,144
2019,40043,144
2019,43173,144
2020,103564,143
2019,14119,143
2019,93236,143
2019,47629,143
2020,81551,143
2019,46633,143
2019,58677,143
2019,5617,143
2019,76589,143
2019,34826,143
2020,71709,143
2019,3219,143
2020,117323,142
2019,2441,142
2020,67797,142
2020,12366,142
2020,110577,142
2019,17644,142
2020,61112,142
2019,66063,142
2019,110348,142
2019,106664,142
2020,55902,141
2019,102461,141
2019,35370,141
2019,112040,141
2019,57007,141
2019,94882,141
2019,29647,141
2019,86162,141
2019,24848,141
2020,70339,141
2019,32872,141
2020,97866,141
2019,15979,141
2019,103564,140
2020,33361,140
2019,72164,140
2019,611,140
2019,90925,140
2019,51248,140
2020,36442,140
2019,21067,140
2019,55172,140
2020,7352,140
2020,102173,139
2019,46970,139
2019,91051,139
2019,37943,139
2019,65147,139
2020,24031,139
2019,81257,139
2020,19417,139
2020,113363,139
2019,42651,138
2019,88319,138
2020,57294,138
2019,61517,138
2019,21903,138
2019,107790,138
2019,27451,138
2019,53730,138
2019,1580,138
2019,118066,137
2019,82507,137
2019,99886,137
2020,88212,137
2020,73088,137
2020,58689,137
2019,80542,137
2019,53920,136
2019,63210,136
2019,16204,136
2019,116192,136
2020,56041,136
2019,26439,136
2020,30032,136
2019,35012,136
2019,46179,136
2019,38721,136
2019,118627,135
2019,31893,135
2019,117749,135
2019,8061,135
2019,62959,135
2020,49002,135
2020,104746,135
2019,57869,135
2019,87046,135
2020,27097,135
2019,68577,135
2019,323,134
2019,78912,134
2019,17365,134
2019,62287,134
2019,5041,134
2019,92260,134
2019,55815,134
2020,82474,134
2019,34065,133
2020,67228,133
2020,33735,133
2019,61465,133
2019,32417,133
2019,66841,133
2020,31994,133
2019,22493,133
2020,63822,132
2020,35403,132
2019,76283,132
2019,8829,132
2019,89969,132
2019,37966,132
2019,70573,132
2019,39559,132
2019,89045,132
2019,3588,132
2019,95568,132
2019,12791,132
2020,74555,132
2019,33830,132
2019,65263,131
2019,16821,131
2019,94713,131
2019,9208,131
2019,69975,131
2020,11716,131
2019,59497,131
2019,23625,131
2019,113240,131
2019,22930,131
2019,73984,131
2020,21412,131
2019,71367,131
2020,113617,131
2019,2147,130
2019,90589,130
2020,56331,130
2019,70392,130
2019,10435,130
2019,83172,130
2020,50024,130
2019,87568,130
2019,8982,130
2020,56105,130
2019,80565,129
2020,38495,129
2020,69179,129
2020,8061,129
2019,78589,129
2020,63434,129
2019,91810,129
2020,118915,128
2019,73957,128
2019,31612,128
2019,78692,128
2020,44969,128
2020,101341,128
2020,26615,128
2019,80135,128
2019,34884,128
2019,67531,128
2019,20954,128
2019,59319,128
2019,13892,128
2020,81476,128
2019,2320,128
2019,13939,128
2020,111887,127
2019,27097,127
2020,68380,127
2019,15283,127
2019,59443,127
2019,35717,127
2019,91811,127
2019,42573,127
2019,60615,127
2020,8596,127
2020,93620,127
2019,15412,127
2019,63471,127
2020,56554,127
2019,102255,127
2019,40267,126
2019,64355,126
2019,26604,126
2020,112045,126
2019,17943,126
2019,89423,126
2019,24600,126
2019,68369,126
2019,45211,126
2019,69492,126
2019,43997,126
2019,86066,126
2019,56299,126
2019,11705,126
2019,67044,125
2019,38070,125
2020,104613,125
2020,12738,125
2020,69528,125
2019,11836,125
2019,65352,125
2019,50911,125
2020,71252,124
2019,49660,124
2019,110613,124
2019,3710,124
2020,63278,124
2019,24594,124
2019,110495,124
2020,29239,124
2020,93236,124
2019,67409,124
2019,72114,124
2019,103501,124
2019,18313,123
2020,98678,123
2020,50755,123
2019,107094,123
2019,61931,123
2019,85440,123
2019,76631,123
2020,85138,123
2019,74882,123
2019,77204,123
2019,38596,122
2020,78818,122
2019,48514,122
2019,78839,122
2019,25273,122
2019,82310,122
2019,30301,122
2019,107507,122
2019,44724,122
2020,88375,122
2019,51850,122
2019,66556,122
2019,57044,122
2019,48953,122
2019,27339,122
2020,45800,122
2019,27254,122
2019,1860,122
2019,11382,122
2020,118848,121
2019,12322,121
2020,88271,121
2020,25796,121
2019,82075,121
2019,46345,121
2019,62084,121
2020,5696,121
2019,12319,121
2019,64041,120
2019,23615,120
2020,91810,120
2020,323,120
2019,78869,120
2019,45004,120
2020,110743,120
2019,5330,120
2019,22497,120
2020,36021,120
2019,95552,119
2020,27302,119
2020,61838,119
2020,26699,119
2019,79493,119
2019,56673,119
2019,83476,119
2019,42262,119
2020,110287,119
2019,6682,119
2019,87652,119
2020,34264,119
2019,60069,119
2019,70089,119
2019,117858,118
2019,107697,118
2019,50563,118
2020,76532,118
2019,27815,118
2019,111488,118
2020,47137,118
2020,110815,118
2019,19296,118
2019,69721,118
2019,16609,118
2019,42735,118
2019,56957,118
2019,13406,118
2019,57192,118
2019,118908,117
2020,16579,117
2019,99792,117
2019,57806,117
2019,60102,117
2019,37168,117
2020,83223,117
2019,37185,117
2020,98087,117
2019,19527,117
2019,59843,117
2019,17397,117
2019,113617,117
2019,37344,117
2019,112799,117
2020,50674,117
2019,92060,117
2020,26156,117
2019,91901,117
2020,117296,116
2019,86971,116
2020,40874,116
2019,91755,116
2019,54802,116
2019,95971,116
2019,45594,116
2019,68400,116
2020,25551,116
2020,96478,116
2019,20895,116
2019,100242,116
2019,42795,116
2019,103253,116
2020,49690,116
2020,105782,116
2019,4328,116
2020,21941,116
2019,75176,115
2019,47897,115
2020,100227,115
2019,47612,115
2019,67347,115
2020,21903,115
2019,104365,115
2019,10699,115
2020,91336,115
2019,6802,115
2019,8356,115
2020,26577,115
2019,101807,114
2019,56994,114
2019,76527,114
2019,20572,114
2019,106431,114
2019,31326,114
2020,82310,114
2019,28965,114
2020,88936,114
2019,15586,114
2020,98133,114
2019,48873,114
2019,75508,114
2019,33298,113
2019,73583,113
2019,35635,113
2019,80604,113
2020,51882,113
2019,68874,113
2019,685,113
2020,114722,113
2019,9573,113
2019,81619,113
2020,23215,113
2019,67618,113
2019,19659,113
2019,9162,113
2019,36206,113
2019,1883,113
2019,118879,112
2020,10699,112
2019,102391,112
2019,12679,112
2020,108818,112
2019,5691,112
2019,63570,112
2019,31992,112
2019,107032,112
2019,53047,112
2019,99292,112
2019,6669,112
2020,69862,112
2019,45569,112
2020,5393,112
2019,31922,112
2020,11836,112
2019,108937,111
2019,10403,111
2019,64352,111
2020,16421,111
2019,99352,111
2020,2441,111
2019,60105,111
2020,32875,111
2019,58909,111
2019,6203,111
2020,68671,111
2019,55526,111
2019,70376,111
2020,27175,111
2020,65892,111
2019,40527,110
2019,116569,110
2019,868,110
2019,82458,110
2019,45808,110
2020,83467,110
2019,55411,110
2019,84668,110
2019,23215,110
2019,113794,110
2019,23534,110
2019,61753,110
2019,38222,110
2019,97864,110
2020,28919,110
2019,105285,110
2019,61417,110
2019,68144,110
2019,89996,110
2019,81206,110
2020,89856,110
2019,100227,110
2019,19726,109
2019,73738,109
2020,54386,109
2020,72799,109
2019,58607,109
2019,63278,109
2019,33521,109
2020,67052,109
2019,20868,109
2020,96277,109
2019,48860,109
2020,62063,109
2019,28999,109
2019,99278,109
2020,55305,109
2019,114470,109
2019,98173,109
2020,81562,109
2019,78966,109
2019,116930,109
2019,23794,108
2020,63761,108
2020,10968,108
2020,96077,108
2019,11028,108
2019,96514,108
2020,8844,108
2019,75632,108
2019,51652,108
2019,10211,108
2019,5457,108
2019,17132,108
2019,88331,107
2019,58414,107
2019,116016,107
2020,26387,107
2019,104746,107
2019,39544,107
2019,113187,107
2019,42173,107
2019,113384,107
2019,51361,107
2019,81476,107
2019,28004,107
2019,76932,107
2019,54682,107
2019,85891,107
2019,18149,107
2019,113820,107
2019,31436,107
2019,110072,107
2019,5270,106
2019,73184,106
2019,18826,106
2019,115927,106
2019,27696,106
2020,61465,106
2019,48363,106
2019,114537,106
2020,29913,106
2019,111804,106
2019,48262,106
2019,95809,106
2019,2180,106
2020,12144,106
2020,97156,105
2019,22268,105
2020,64162,105
2020,35370,105
2019,63152,105
2019,35403,105
2019,105469,105
2019,47092,105
2020,107415,105
2019,16172,105
2019,62065,105
2019,22553,105
2019,90065,105
2019,4948,105
2019,98426,105
2019,46007,105
2019,79810,105
2019,36591,105
2019,104680,105
2020,56505,105
2020,3314,105
2020,66841,104
2019,52301,104
2019,93623,104
2020,6321,104
2019,103522,104
2019,8419,104
2020,75950,104
2020,7741,104
2019,115440,104
2019,28996,104
2019,72830,104
2019,46056,104
2020,87853,104
2019,49764,104
2020,103948,104
2019,51006,104
2019,84544,104
2019,43473,104
2020,79884,103
2019,46015,103
2020,75632,103
2019,45023,103
2019,59809,103
2019,14018,103
2019,97240,103
2019,26547,103
2019,106151,103
2019,49002,103
2019,96532,103
2019,15975,103
2020,100242,103
2019,17914,103
2019,93277,103
2020,46836,103
2019,114787,103
2019,40960,103
2019,66443,103
2019,20445,103
2019,97479,103
2019,55092,103
2019,71781,103
2019,20741,103
2020,70248,103
2020,68254,103
2019,23446,102
2020,83252,102
2019,28596,102
2020,100746,102
2020,51822,102
2019,116465,102
2020,13017,102
2019,87412,102
2019,57187,102
2020,90509,102
2019,47590,102
2019,111502,102
2019,15751,102
2019,98269,102
2019,8190,102
2019,24886,102
2019,46487,102
2019,6321,102
2020,11028,102
2020,117780,101
2019,24455,101
2019,104139,101
2020,3529,101
2019,109709,101
2020,24738,101
2019,96077,101
2019,54560,101
2019,88068,101
2019,31585,101
2019,83365,101
2019,38,101
2019,80475,101
2019,5324,101
2019,87442,101
2019,25881,101
2019,64196,101
2019,3818,101
2019,118832,100
2019,58323,100
2019,113546,100
2019,5546,100
2019,65577,100
2019,4379,100
2019,96485,100
2019,8040,100
2019,100730,100
2020,39413,100
2019,74540,100
2019,19841,100
2019,108816,100
2019,12408,100
2019,69611,100
2020,47418,100
2019,72554,100
2020,68635,100
2019,97514,100
2019,78938,100
2019,72163,100
2019,30983,99
2020,69588,99
2019,43644,99
2019,104726,99
2019,11018,99
2019,98366,99
2020,48931,99
2019,100746,99
2019,51822,99
2019,82913,99
2019,25398,99
2019,79799,99
2019,56200,99
2019,112067,99
2019,54523,99
2019,92912,99
2019,56630,99
2019,82555,99
2019,40723,99
2019,115933,99
2019,47545,99
2019,101614,99
2020,58372,99
2019,84375,99
2019,22251,99
2019,66198,99
2019,31698,99
2019,3934,99
2019,13869,99
2020,57248,99
2019,19414,99
2019,71456,98
2019,34592,98
2020,89465,98
2019,15087,98
2019,85138,98
2019,79074,98
2019,88705,98
2019,67785,98
2020,101581,98
2019,81357,98
2020,70120,98
2019,69801,98
2020,100947,98
2019,71709,98
2019,105495,98
2019,89897,98
2020,63214,98
2020,117990,97
2019,104271,97
2020,5691,97
2020,89020,97
2019,12135,97
2020,114821,97
2019,55902,97
2019,94491,97
2019,20425,97
2019,78402,97
2019,569,97
2020,110589,97
2019,31946,97
2019,103026,97
2020,43997,97
2020,84781,97
2020,6427,97
2019,77064,97
2019,28732,97
2019,86563,97
2020,4136,97
2019,96112,97
2020,17506,97
2020,69589,97
2020,5546,97
2019,117990,96
2019,13781,96
2019,69620,96
2019,1216,96
2019,101679,96
2019,3176,96
2020,82115,96
2020,52036,96
2019,89800,96
2020,57713,96
2019,72932,96
2019,29512,96
2019,101594,96
2019,6101,96
2019,95524,96
2019,62714,96
2019,117248,96
2020,41994,95
2019,70505,95
2019,9689,95
2019,67816,95
2019,39628,95
2019,101511,95
2019,41590,95
2019,105386,95
2019,33346,95
2019,70407,95
2019,12200,95
2020,106084,95
2019,11726,95
2020,109463,95
2019,34635,95
2019,68883,95
2019,12423,95
2020,102085,95
2019,51393,95
2019,105501,95
2019,21600,95
2020,38113,95
2019,9069,95
2019,24511,95
2019,53248,95
2019,107757,94
2020,36431,94
2019,106919,94
2019,50312,94
2020,81378,94
2019,4682,94
2019,96277,94
2019,48931,94
2019,84381,94
2019,11009,94
2019,59520,94
2019,48113,94
2019,66889,94
2019,424,94
2020,69819,94
2020,37475,94
2019,95949,94
2019,25239,94
2019,72330,94
2020,46554,94
2019,94216,94
2019,43790,94
2019,73338,94
2019,48959,94
2019,104656,94
2019,50755,94
2019,67789,94
2019,37970,94
2019,110794,94
2019,21244,94
2019,18855,94
2019,111177,93
2020,48065,93
2019,112276,93
2020,34420,93
2020,98173,93
2019,42826,93
2019,89073,93
2019,40780,93
2019,111018,93
2019,1267,93
2019,101509,93
2019,15902,93
2019,101212,93
2019,42825,93
2019,86236,93
2019,43333,93
2019,89465,93
2020,48262,93
2019,64820,93
2019,26887,93
2019,62196,93
2019,35173,93
2019,96590,93
2019,12738,93
2020,71367,93
2019,28289,93
2019,22965,93
2019,39290,93
2019,105848,92
2020,2602,92
2019,95112,92
2019,27240,92
2019,111591,92
2019,4813,92
2019,74728,92
2020,34826,92
2019,77169,92
2019,48504,92
2019,89441,92
2019,35607,92
2019,85385,92
2020,22527,92
2020,81066,92
2020,20628,92
2019,87994,92
2019,23272,92
2019,98657,92
2019,15319,92
2020,80082,92
2019,106398,92
2019,62063,92
2019,92222,92
2020,3084,91
2019,67228,91
2019,19680,91
2019,79653,91
2019,10499,91
2019,87772,91
2019,38832,91
2020,61931,91
2019,1754,91
2019,79696,91
2020,36663,91
2020,115498,91
2020,17828,91
2019,109158,91
2019,9054,91
2019,89610,91
2019,75015,91
2019,84887,91
2019,94011,91
2019,108199,91
2020,61091,91
2019,89700,91
2019,109952,91
2019,75567,91
2019,89020,91
2019,36350,90
2020,106151,90
2019,20930,90
2020,113648,90
2019,21940,90
2019,92642,90
2019,36071,90
2019,93336,90
2020,36455,90
2019,60212,90
2019,33188,90
2019,76532,90
2019,5030,90
2020,110348,90
2019,14550,90
2020,94216,90
2019,43383,90
2019,96835,90
2019,3007,90
2019,7388,90
2019,48721,90
2019,26773,90
2020,84447,89
2019,3744,89
2019,64393,89
2020,26335,89
2019,66923,89
2020,22251,89
2019,107742,89
2019,29421,89
2019,105430,89
2019,52695,89
2019,97076,89
2019,17496,89
2019,80665,89
2020,50997,89
2019,90850,89
2020,10435,89
2020,101636,89
2019,16352,89
2019,68453,89
2019,18728,89
2020,64759,89
2019,7084,89
2019,90509,89
2019,13264,89
2019,78818,89
2020,43644,89
2019,70120,89
2019,30602,89
2019,109536,89
2019,106573,89
2019,56041,88
2020,72554,88
2019,51522,88
2019,67442,88
2020,34503,88
2020,67409,88
2020,17132,88
2019,72633,88
2020,8982,88
2020,89423,88
2020,38,88
2019,69664,88
2020,25091,88
2019,83949,88
2019,31062,88
2019,101636,88
2020,21145,88
2020,90369,88
2019,33582,88
2020,58773,88
2020,41346,88
2019,116797,88
2019,40850,88
2019,73746,88
2019,51951,88
2019,77601,88
2019,65410,88
2019,118679,87
2020,78912,87
2019,40493,87
2019,65892,87
2019,54786,87
2019,99232,87
2019,11639,87
2019,98914,87
2020,48860,87
2019,114183,87
2020,54751,87
2019,69862,87
2019,4842,87
2019,81383,87
2019,45754,87
2019,111887,87
2019,28502,87
2019,61003,87
2020,52078,87
2020,90850,87
2019,26946,87
2019,70490,87
2019,14732,87
2019,84749,87
2019,31053,87
